Genotype	Treatment	Block	Row	Position	Leaf Top Area (cm^2)	Leaf Top Aspect Ratio (unitless)	Leaf Bottom Blue (intensity)	Leaf Bottom Brightness (intensity)	Leaf Bottom Green (intensity)	Leaf Bottom Hue (intensity)	Leaf Bottom Red (intensity)	Leaf Bottom Saturation (intensity)	Leaf Top Circularity (unitless)	Leaf Top Convex Area (mm^2)	Leaf Top Major Axis Length (cm)	Leaf Top Minor Axis Length (cm)	Leaf Top Max. Feret (cm)	Leaf Top Min. Feret (cm)	Leaf Top Perimeter (cm)	Leaf Top Roundness (unitless)	Leaf Top Solidity (unitless)	Leaf Top Blue (intensity)	Leaf Top Brightness (intensity)	Leaf Top Green (intensity)	Leaf Top Hue (intensity)	Leaf Top Red (intensity)	Leaf Top Saturation (intensity)	Vein Bottom Area (mm^2)	Vein Bottom Area DR 1 (mm^2)	Vein Bottom Area DR 2 (mm^2)	Vein Bottom Area DR 3 (mm^2)	Vein Bottom Avg. Diameter (mm)	Vein Bottom Convex Area (mm)	Vein Bottom Density (unitless)	Vein Bottom Length-to-area Ratio (unitless)	Vein Bottom Max. Depth (mm)	Vein Bottom Max. Diameter (mm)	Vein Bottom Max. Width (mm)	Vein Bottom Network Solidity (unitless)	Vein Bottom Perimeter (mm)	Vein Bottom Surface Area (mm^2)	Vein Bottom Surface Area DR 1 (mm^2)	Vein Bottom Surface Area DR 2 (mm^2)	Vein Bottom Surface Area DR 3 (mm^2)	Vein Bottom Third Order Fraction (unitless)	Vein Bottom Total Length (mm)	Vein Bottom Total Length DR 1 (mm)	Vein Bottom Total Length DR 2 (mm)	Vein Bottom Total Length DR 3 (mm)	Vein Bottom Volume (mm^3)	Vein Bottom Volume DR 1 (mm^3)	Vein Bottom Volume DR 2 (mm^3)	Vein Bottom Volume DR 3 (mm^3)	Vein Bottom Width-To-Depth Ratio (unitless)	Petiole Bottom Area (cm^2)	Petiole Bottom Aspect Ratio (unitless)	Petiole Bottom Blue (intensity)	Petiole Bottom Brightness (intensity)	Petiole Bottom Green (intensity)	Petiole Bottom Hue (intensity)	Petiole Bottom Red (intensity)	Petiole Bottom Saturation (intensity)	Petiole Bottom Circularity (unitless)	Petiole Bottom Major Axis Length (cm)	Petiole Bottom Minor Axis Length (cm)	Petiole Bottom Max. Feret (cm)	Petiole Bottom Min. Feret (cm)	Petiole Bottom Perimeter (cm)	Petiole Bottom Roundness (unitless)	Petiole Bottom Solidity (unitless)	Petiole Bottom Volume (mm^3)	Petiole Bottom Width (cm)
SKWD-24-5	Control	1	1	1	169.572	1.889	143.707	160.263	160.132	48.727	157.839	26.073	0.594	17330.925912	20.198	10.69	22.489	11.325	59.913	0.529	0.977	48.865	64.113	64.033	64.729	56.332	62.166	2571.199159	1536.821418	873.163694	769.682095	0.307874	16985.098646	0.1515653460502349	0.61954887503146	222.927333	4.165049	116.84	0.151565141678841	19852.00305	9989.420568	4828.066877	2743.326075	2418.027616	0.75253356926285	10510.223715	7909.296166	2084.22797	516.699579	1675.241193	241.536988	309.917948	1123.786257	0.524117	1.707	11.544	85.574	142.659	140.604	43.001	138.867	102.021	0.172	5.01	0.434	4.719	0.627	11.164	0.087	0.721	512.284029	0.3003146558843574
BESC-906	Control	1	1	10	62.364	2.366	145.296	162.704	162.57	52.228	158.837	26.994	0.586	6387.947798	13.707	5.793	14.582	6.22	36.577	0.423	0.972	62.576	86.227	86.088	63.496	74.838	68.876	733.697457	339.907261	281.871198	266.024744	0.357753	6173.969731	0.1176215973580429	0.408046448124446	142.324667	2.89852	61.383333	0.117621708776816	4867.270971	2789.116022	1067.850155	885.524484	835.741383	0.690327290305705	2545.300901	1757.090674	624.667911	163.542317	537.646623	53.175302	107.400118	377.071203	0.431291	0.738	6.778	97.473	156.988	155.09	42.443	153.731	96.719	0.309	2.524	0.372	2.357	0.457	5.48	0.148	0.807	159.071287	0.28080518212150196
GW-2351	Control	1	1	11	49.381	2.332	135.923	163.328	159.028	37.839	162.887	42.664	0.569	5173.584635	12.108	5.193	13.423	5.743	33.016	0.429	0.952	66.476	108.656	103.447	43.055	104.513	97.166	788.077277	603.077968	246.282436	130.034761	0.25505100000000003	4973.226613	0.15955702225011642	0.792418743244188	131.233333	2.792717	56.218667	0.159553748190321	7382.351328	3077.739189	1894.625312	773.920518	409.193359	0.811189464115918	3913.961361	3174.964219	640.152369	98.844772	316.451733	92.515905	77.621228	146.3146	0.428387	0.649	7.411	97.616	163.28	145.279	30.105	163.28	102.755	0.214	2.475	0.334	2.549	0.5	6.173	0.135	0.588	114.871109	0.21192793317720343
GW-9763	Control	1	1	16	47.235	2.469	148.269	166.449	166.189	50.165	163.205	27.56	0.547	4825.054866	12.185	4.936	13.239	5.399	32.938	0.405	0.975	59.107	87.656	87.42	62.193	74.461	82.904	641.726315	384.186784	229.086544	164.451591	0.296756	4691.34904	0.1356716985919066	0.566306929231318	131.656667	2.545638	53.424667	0.135676320394878	5119.114958	2443.294892	1206.958378	719.696604	516.63991	0.753933043514139	2678.537108	2019.437634	543.978159	115.121316	337.246344	59.037027	80.181319	198.027998	0.405788	0.635	6.71	99.386	156.811	148.372	35.681	156.156	94.042	0.24	2.33	0.347	2.418	0.5	5.771	0.149	0.633	103.91077	0.22830525402420768
BESC-127	Control	1	1	17	41.06	2.877	148.669	170.108	169.891	52.964	165.012	31.791	0.505	4241.715531	12.264	4.263	13.364	4.76	31.977	0.348	0.965	62.013	105.312	105.138	57.698	89.969	103.75	826.86573	607.560451	272.237926	165.885327	0.26973	4060.988294	0.20137349925723888	0.966281017645603	131.233333	2.54	47.413333	0.201367261224189	7377.063784	3285.313671	1908.70745	855.462097	521.144124	0.795154726734375	3967.798212	3155.013503	688.767804	124.016905	370.494616	94.590525	88.45758	187.44651	0.36129	0.684	9.04	117.691	178.648	178.055	44.427	174.084	87.77	0.199	2.806	0.31	2.734	0.415	6.568	0.111	0.68	108.081025	0.22872310511757396
BESC-416	Control	1	1	19	76.269	2.996	148.612	179.188	174.642	37.62	178.884	42.918	0.466	8124.972997	17.056	5.694	18.297	6.273	45.368	0.334	0.935	64.846	130.032	122.899	41.245	127.11	125.343	1324.28409	1017.085672	382.359612	288.768221	0.267384	7848.21011	0.17380861758954236	0.847310711519846	179.747333	3.403558	61.468	0.173806280234744	12147.774627	5304.867039	3195.268875	1202.003186	907.594977	0.820260464996489	6455.923762	5295.539027	977.271352	183.113383	690.156535	157.906645	123.313472	408.936419	0.341969	0.749	5.143	108.684	166.24	155.997	34.327	166.186	89.397	0.267	2.215	0.431	2.396	0.686	5.935	0.194	0.599	162.784793	0.2629725538186063
BESC-104	Control	1	1	2	105.233	1.775	138.93	155.145	154.786	48.671	152.829	26.469	0.547	11028.046044	15.421	8.689	17.953	9.457	49.165	0.563	0.953	52.927	69.512	69.429	66.717	60.333	62.322	2322.210409	1750.193659	846.389109	406.511111	0.269906	10729.878182	0.220124176501256	1.07679972119907	174.752	3.894667	93.556667	0.220124743361312	20918.589434	9436.836343	5498.459237	2660.744297	1277.632809	0.793929458099923	11359.720324	9018.816601	2063.038872	277.864851	1134.804249	274.719418	294.67839	565.40644	0.535368	1.456	9.534	109.498	160.199	157.183	40.323	159.038	82.357	0.199	4.204	0.441	4.284	0.584	9.593	0.105	0.7	344.869378	0.29592220689481497
BESC-88	Control	1	1	22	66.163	2.06	140.493	163.678	163.394	48.536	160.251	35.735	0.597	6795.957734	13.174	6.395	14.334	6.669	37.323	0.485	0.971	61.717	102.923	102.659	56.237	90.232	100.391	1316.391632	1037.506236	430.416991	203.259317	0.260384	6616.1839	0.19870488611148848	0.990079254482619	139.869333	2.730418	65.955333	0.19870306362177	12195.763388	5252.295443	3259.485667	1353.738255	639.071521	0.820177665449134	6559.194518	5379.704847	1035.232876	144.256795	560.685792	161.791847	150.60951	248.284435	0.47155	0.667	7.494	95.66	155.639	149.92	38.307	154.569	98.797	0.242	2.522	0.337	2.459	0.44	5.887	0.133	0.718	121.680288	0.2437472617055355
BESC-232	Control	1	1	23	41.371	2.486	152.205	197.007	183.745	30.57	196.992	56.928	0.599	4180.930706	11.443	4.603	11.82	5.03	29.472	0.402	0.985	81.771	169.739	148.908	33.522	168.968	130.032	768.24936	518.705745	301.564231	148.291157	0.28388	4017.769742	0.1858608342204587	0.844714127402815	115.231333	2.89852	49.106667	0.185870698289836	6482.039764	3043.243739	1629.562158	947.492686	466.188895	0.749070486885085	3491.411469	2615.313289	766.644974	109.453206	353.418633	83.250074	98.578808	171.58975	0.426157	0.976	13.307	110.306	172.937	166.415	37.387	172.936	92.568	0.168	4.066	0.306	3.743	0.457	8.534	0.075	0.681	180.003148	0.18737876346122212
GW-7989	Control	1	1	24	30.154	3.038	140.773	164.05	163.34	48.31	160.623	35.876	0.494	3090.789517	10.8	3.555	11.648	3.906	27.704	0.329	0.973	63.619	104.442	103.551	52.491	94.648	98.574	503.583222	317.671851	192.741279	122.615497	0.293016	2978.657125	0.16642432253800393	0.733040937402377	114.638667	2.227232	38.777333	0.166420687747787	4143.371308	1989.134081	997.995552	605.6153	385.523229	0.746940044134967	2218.156421	1656.829855	458.317569	103.008997	237.547179	49.229205	67.340828	120.977145	0.338257	0.676	10.944	115.46	176.249	173.487	40.538	175.403	88.221	0.186	3.07	0.281	2.911	0.406	6.756	0.091	0.641	116.319517	0.1955341023022509
