Genotype	Density BLUPs
BESC-1	0.16139396673617012
BESC-100	0.1655763804249768
BESC-1001	0.1618873989604088
BESC-1004	0.14372585555426476
BESC-1005	0.14686088019244198
BESC-1006	0.14724072819459955
BESC-1007	0.18340369975866472
BESC-1009	0.1610229141295406
BESC-101	0.18608731347922888
BESC-1012	0.1696241777847383
BESC-1013	0.14333625804973596
BESC-1014	0.16082205359998214
BESC-1015	0.1998981245560297
BESC-1016	0.13434481099263848
BESC-1017	0.11107642831036532
BESC-1018	0.1709050028491425
BESC-1019	0.17380535940849956
BESC-102	0.18071295384615635
BESC-1020	0.17107174072076037
BESC-1022	0.18413164168475907
BESC-1024	0.18286977314496533
BESC-1025	0.18142199416426139
BESC-1026	0.17591991130401632
BESC-1028	0.21851714501480896
BESC-1029	0.17264482716389407
BESC-103	0.14800182710460869
BESC-1030	0.172429689450568
BESC-1031	0.17421361156681095
BESC-1032	0.1471150788419967
BESC-1033	0.17970853254595098
BESC-1035	0.16003563448291197
BESC-1038	0.20367077474929912
BESC-104	0.19130735079678302
BESC-1041	0.14131061190712527
BESC-1043	0.18353333349163373
BESC-1045	0.16980055684127593
BESC-1046	0.15438712666299043
BESC-105	0.18643014956224954
BESC-1050	0.15385968756244395
BESC-1051	0.1996759073005341
BESC-1052	0.14089430642980352
BESC-1054	0.13254403347284457
BESC-1057	0.15663375261375728
BESC-106	0.14317174911512867
BESC-1067	0.19606721086175272
BESC-1068	0.18988786922660564
BESC-1069	0.20835515368613378
BESC-107	0.1894611431308342
BESC-1070	0.15363171838232495
BESC-1071	0.15665480479134772
BESC-1072	0.16292285166294856
BESC-1073	0.2047173485453545
BESC-108	0.18123991861525846
BESC-1082	0.1369231254239183
BESC-109	0.1606181060896409
BESC-1091	0.18122874691709406
BESC-1092	0.1859462810814351
BESC-1093	0.21012215159085415
BESC-1095	0.19461489388981232
BESC-1096	0.1829420111469762
BESC-1097	0.15668992426082137
BESC-1098	0.20687676796447502
BESC-1099	0.18115597576499207
BESC-11	0.17382648185160177
BESC-110	0.1693979468457418
BESC-1101	0.17702179203444182
BESC-1103	0.17062324501062426
